Zmienna;Typ informacji;Jednostka terytorialna;PKD - wybrane sekcje i działy 1 (KG);Szereg czasowy;Wartość;Flaga
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2020 M01;-0,7;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2020 M02;0,1;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2020 M03;-1,9;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2020 M04;-47,1;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2020 M05;-38,8;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2020 M06;-25,9;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2020 M07;-16,7;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2020 M08;-15,4;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2020 M09;-15,0;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2020 M10;-16,5;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2020 M11;-26,2;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2020 M12;-22,6;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2020 M01;-11,0;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2020 M02;-4,5;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2020 M03;-5,5;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2020 M04;-68,1;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2020 M05;-50,1;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2020 M06;-29,8;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2020 M07;-18,3;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2020 M08;-19,3;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2020 M09;-18,4;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2020 M10;-24,0;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2020 M11;-39,0;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2020 M12;-31,3;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2019 M01;10,4;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2019 M02;6,5;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2019 M03;5,2;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2019 M04;6,7;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2019 M05;5,8;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2019 M06;7,3;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2019 M07;6,8;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2019 M08;7,2;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2019 M09;6,5;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2019 M10;5,9;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2019 M11;5,1;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2019 M12;3,6;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2019 M01;2,7;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2019 M02;4,9;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2019 M03;7,3;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2019 M04;8,9;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2019 M05;7,7;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2019 M06;7,8;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2019 M07;6,2;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2019 M08;5,6;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2019 M09;3,2;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2019 M10;0,7;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2019 M11;-1,9;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2019 M12;-4,6;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2019 M01;-5,0;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2019 M02;3,3;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2019 M03;9,4;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2019 M04;11,1;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2019 M05;9,6;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2019 M06;8,2;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2019 M07;5,5;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2019 M08;3,9;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2019 M09;-0,2;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2019 M10;-4,6;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2019 M11;-8,8;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2019 M12;-12,8;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2018 M01;4,1;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2018 M02;1,8;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2018 M03;-0,8;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2018 M04;0,2;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2018 M05;2,6;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2018 M06;3,6;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2018 M07;4,1;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2018 M08;4,4;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2018 M09;3,3;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2018 M10;2,7;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2018 M11;2,1;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2018 M12;1,7;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2018 M01;0,8;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2018 M02;3,2;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2018 M03;5,1;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2018 M04;6,9;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2018 M05;7,2;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2018 M06;7,3;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2018 M07;6,4;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2018 M08;6,4;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2018 M09;4,0;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2018 M10;1,5;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2018 M11;-0,8;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2018 M12;-2,8;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2018 M01;-2,6;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2018 M02;4,6;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2018 M03;10,9;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2018 M04;13,5;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2018 M05;11,7;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2018 M06;11,0;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2018 M07;8,6;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2018 M08;8,4;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2018 M09;4,6;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2018 M10;0,3;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2018 M11;-3,7;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2018 M12;-7,2;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2017 M01;-4,0;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2017 M02;-8,1;(nd)
